,TP53 (M),SMAD4 (M),CTNNB1 (M),MAPK3/16p (Amp)
TP53 (M),1.07,-0.66,-1.15,-0.54
SMAD4 (M),-1.95,-0.92,-0.7,-0.4
CTNNB1 (M),-1.86,-0.45,-1.44,-0.61
MAPK3/16p (Amp),-0.01,-1.03,-0.84,-0.94
