,TP53 (M),SMAD4 (M),CTNNB1 (M),RAC1/7p (Amp)
TP53 (M),1.06,-1.11,-1.62,-0.0
SMAD4 (M),-1.22,-0.98,-1.37,-0.74
CTNNB1 (M),-1.3,-0.03,-1.57,-0.61
RAC1/7p (Amp),-1.19,-0.83,-2.55,0.49
