,TP53 (M),SMAD4 (M),CTNNB1 (M),SETD2 (M)
TP53 (M),1.14,-1.91,-2.1,-2.28
SMAD4 (M),-0.79,-1.42,-0.51,-1.02
CTNNB1 (M),-1.08,-0.46,-1.81,0.0
SETD2 (M),-1.68,-0.97,-0.0,-2.48
