,TP53 (M),SMAD4 (M),CTNNB1 (M),ATM (M)
TP53 (M),1.21,-2.15,-2.08,-2.6
SMAD4 (M),-0.67,-1.48,-0.36,-0.63
CTNNB1 (M),-1.14,-0.6,-1.73,-0.72
ATM (M),-1.78,-0.47,-0.33,-1.69
