,TP53 (M),SMAD4 (M),CTNNB1 (M),BRAF (M)
TP53 (M),1.27,-2.31,-2.4,-2.62
SMAD4 (M),-0.58,-1.51,-0.44,-0.49
CTNNB1 (M),-1.05,-0.51,-1.71,-1.35
BRAF (M),-0.85,-0.49,-1.23,-1.25
