,TP53 (M),SMAD4 (M),CTNNB1 (M),KMT2D (M)
TP53 (M),1.25,-2.1,-1.74,-2.62
SMAD4 (M),-0.75,-1.4,-0.36,-1.06
CTNNB1 (M),-1.18,-0.54,-1.76,-0.0
KMT2D (M),-1.76,-0.87,-0.0,-1.33
