,TP53 (M),SMAD4 (M),CTNNB1 (M),SMARCA4 (M)
TP53 (M),1.16,-1.99,-2.07,-1.7
SMAD4 (M),-0.77,-1.41,-0.52,-1.44
CTNNB1 (M),-1.09,-0.43,-1.81,-0.13
SMARCA4 (M),-2.72,-0.76,-0.0,-1.95
