,TP53 (M),SMAD4 (M),CTNNB1 (M),PTPRS (M)
TP53 (M),1.18,-1.76,-1.82,-1.86
SMAD4 (M),-0.86,-1.35,-0.42,-0.89
CTNNB1 (M),-1.19,-0.54,-1.76,-0.01
PTPRS (M),-1.56,-0.75,-0.07,-1.56
