,TP53 (M),SMAD4 (M),CTNNB1 (M),CREBBP (M)
TP53 (M),1.18,-1.95,-2.31,-2.5
SMAD4 (M),-0.81,-1.38,-0.55,-1.53
CTNNB1 (M),-0.99,-0.41,-1.85,-0.13
CREBBP (M),-1.6,-1.46,-0.2,-2.0
