,TP53 (M),SMAD4 (M),CTNNB1 (M),AMER1 (M)
TP53 (M),1.21,-2.35,-1.95,-2.37
SMAD4 (M),-0.57,-1.55,-0.34,-0.33
CTNNB1 (M),-1.3,-0.65,-1.62,-1.99
AMER1 (M),-1.48,-0.59,-1.97,-1.69
