,TP53 (M),SMAD4 (M),CTNNB1 (M),B2M/15q (Del)
TP53 (M),1.2,-1.94,-2.51,-1.11
SMAD4 (M),-0.63,-1.41,-0.41,-0.69
CTNNB1 (M),-0.87,-0.59,-1.8,-0.55
B2M/15q (Del),0.0,-0.79,-1.49,-0.92
