,TP53 (M),SMAD4 (M),CTNNB1 (M),PIK3R1 (M)
TP53 (M),1.13,-1.7,-1.88,-1.62
SMAD4 (M),-0.9,-1.35,-0.55,-1.14
CTNNB1 (M),-1.2,-0.43,-1.75,-0.16
PIK3R1 (M),-1.57,-1.05,-0.17,-2.24
