,TP53 (M),SMAD4 (M),CTNNB1 (M),SMAD4/18q (Del)
TP53 (M),1.09,-0.67,-0.9,-0.26
SMAD4 (M),-1.83,-0.97,-0.32,-0.14
CTNNB1 (M),-1.86,-0.54,-1.07,-1.78
SMAD4/18q (Del),-0.0,-0.01,-0.81,0.48
