,TP53 (M),SMAD4 (M),CTNNB1 (M),MTOR (M)
TP53 (M),1.15,-1.8,-2.09,-1.87
SMAD4 (M),-0.83,-1.39,-0.45,-0.98
CTNNB1 (M),-1.09,-0.54,-1.8,-0.05
MTOR (M),-1.78,-0.73,-0.41,-2.08
