,TP53 (M),SMAD4 (M),CTNNB1 (M),KRAS (M)
TP53 (M),1.86,-2.09,-2.37,-4.11
SMAD4 (M),-0.64,-1.23,-0.23,-0.91
CTNNB1 (M),-1.09,-0.43,-1.39,-1.36
KRAS (M),-0.98,-0.0,0.01,0.38
