,TP53 (M),SMAD4 (M),CTNNB1 (M),TP53/17p (Del)
TP53 (M),1.0,-0.59,-0.95,-0.0
SMAD4 (M),-1.92,-0.82,-0.7,-0.93
CTNNB1 (M),-2.06,-0.42,-1.3,-1.05
TP53/17p (Del),-0.11,-0.36,-0.71,-0.23
