,TP53 (M),SMAD4 (M),CTNNB1 (M),ASXL1 (M)
TP53 (M),1.15,-1.79,-1.95,-1.86
SMAD4 (M),-0.87,-1.36,-0.52,-1.21
CTNNB1 (M),-1.17,-0.46,-1.76,-0.34
ASXL1 (M),-2.24,-1.02,-0.08,-2.1
