,TP53 (M),SMAD4 (M),CTNNB1 (M),PIK3CA (M)
TP53 (M),1.54,-1.96,-2.38,-3.63
SMAD4 (M),-0.82,-1.27,-0.7,-0.7
CTNNB1 (M),-1.08,-0.24,-1.63,-1.1
PIK3CA (M),-1.4,-1.18,-0.0,-0.27
