,SMAD4 (M),PIK3CA (M),EGFR (M),EPHA7/6q (Del)
SMAD4 (M),-3.24,-0.02,-0.0,-0.81
PIK3CA (M),-0.01,-2.69,-0.55,-0.36
EGFR (M),-0.62,-0.0,-0.81,-0.62
EPHA7/6q (Del),-0.0,-0.84,-2.24,-0.74
