,SMAD4 (M),PIK3CA (M),EGFR (M),RB1/13q (Del)
SMAD4 (M),-3.21,-0.04,-0.46,-0.45
PIK3CA (M),-0.0,-2.67,-0.41,-0.84
EGFR (M),-0.02,-0.0,-0.94,-0.11
RB1/13q (Del),-0.8,-0.17,-0.01,-1.19
