,T0,T1,T2,B_2
T0,-0.82,-0.74,0.0,-0.0
T1,-0.22,-1.96,0.0,0.31
T2,0.25,0.85,-2.22,-0.0
B_2,-0.0,0.0,0.0,-1.52
