,T0,T1,T2,A_1
T0,-0.85,-0.74,0.35,-0.08
T1,-0.2,-1.91,0.0,-0.04
T2,0.0,0.92,-2.16,-0.0
A_1,-0.64,-0.32,-0.01,-2.09
