,T0,T1,T2,A_0
T0,-0.78,-1.0,0.01,-0.0
T1,-0.2,-1.92,-0.0,-0.32
T2,0.19,0.77,-2.08,-1.18
A_0,-0.09,-0.37,-0.13,-2.36
