,T0,T1,T2,B_1
T0,-0.78,-0.85,0.02,-0.04
T1,-0.35,-1.99,0.01,0.17
T2,0.12,0.74,-2.1,-0.03
B_1,-0.02,0.13,-0.17,-0.04
