,T0,T1,T2,E_0
T0,-0.84,-0.15,0.0,-0.06
T1,-0.93,-1.87,-0.0,-0.0
T2,0.03,0.82,-2.18,0.32
E_0,-0.15,-0.28,0.01,-2.57
