,T0,T1,T2,C_1
T0,-0.85,-0.11,-0.0,-0.0
T1,-1.01,-1.86,0.0,-0.01
T2,0.04,0.85,-2.15,-0.15
C_1,-1.01,-0.0,-0.0,-1.68
