,T0,T1,T2,D_0
T0,-0.8,-0.05,0.26,-0.64
T1,-1.18,-2.15,-0.0,1.22
T2,-0.17,0.75,-2.09,0.01
D_0,0.67,0.0,-0.2,-1.43
