,T0,T1,T2,B_0
T0,-0.8,-1.3,0.06,0.01
T1,-0.09,-1.97,0.0,-0.0
T2,0.11,0.45,-2.15,-0.0
B_0,-0.01,0.39,-0.06,-1.8
