,T0,T1,T2,A_0
T0,-0.91,-0.43,0.15,0.74
T1,-0.79,-1.91,0.0,-0.05
T2,0.0,0.07,-2.05,-0.54
A_0,0.0,-0.3,-0.56,-2.44
