,T0,T1,T2,D_0
T0,-0.87,-1.22,0.0,0.62
T1,0.0,-1.98,-0.01,-0.0
T2,0.0,-0.0,-2.18,-0.0
D_0,-0.11,0.95,-0.0,-1.51
