,T0,T1,T2,C_2
T0,-0.77,-0.27,0.0,-0.71
T1,-0.35,-1.9,-0.0,0.0
T2,0.07,-0.0,-2.25,0.4
C_2,-0.51,0.46,0.0,-1.86
