,T0,T1,T2,B_2
T0,-0.84,-0.98,0.08,0.38
T1,-0.0,-1.98,-0.01,-0.0
T2,0.0,-0.0,-2.18,-0.0
B_2,0.0,0.58,-0.0,-1.64
