,T0,T1,T2,B_1
T0,-0.92,-1.62,0.04,0.18
T1,-0.04,-1.98,-0.55,-0.07
T2,-0.0,0.0,-2.1,-0.06
B_1,-0.35,0.12,-0.11,0.07
