,T0,T1,T2,C_0
T0,-0.86,-1.15,0.17,-0.08
T1,-0.21,-1.97,-0.62,0.0
T2,-0.12,0.05,-2.1,-0.0
C_0,-0.41,0.2,-0.31,-1.56
