,T0,T1,T2,E_2
T0,-0.83,-1.21,0.12,-0.65
T1,-0.16,-1.95,-0.54,-0.45
T2,-0.03,0.0,-2.13,0.13
E_2,0.0,-0.15,-0.0,-2.33
