,T0,T1,T2,D_0
T0,-0.89,-1.45,0.0,0.17
T1,-0.11,-1.99,-0.57,-0.02
T2,0.0,-0.0,-2.13,0.01
D_0,-0.0,0.56,0.0,-1.01
