,T0,T1,T2,A_1
T0,-0.84,-1.65,0.06,-0.11
T1,-0.04,-2.03,-0.58,0.22
T2,0.0,-0.0,-2.12,-0.04
A_1,-0.23,-0.96,-0.74,-2.06
