,T0,T1,T2,D_0
T0,-0.89,-0.79,0.0,0.18
T1,-0.13,-1.95,0.5,-0.13
T2,0.04,-0.0,-2.18,0.38
D_0,-0.01,1.04,-0.39,-1.32
