,T0,T1,T2,B_0
T0,-0.91,-0.45,-0.01,0.24
T1,-0.41,-1.91,0.58,-0.11
T2,0.06,-0.0,-2.15,0.34
B_0,-0.47,0.69,-0.72,-1.59
