,T0,T1,T2,E_0
T0,-0.87,-1.38,0.25,0.0
T1,-0.14,-2.06,-0.0,-0.49
T2,0.0,0.03,-2.07,0.02
E_0,-0.0,0.0,0.0,-2.55
