,T0,T1,T2,B_0
T0,-0.87,-1.08,0.26,-0.06
T1,-0.33,-2.08,0.0,0.28
T2,0.0,0.02,-2.06,-0.03
B_0,-0.0,0.0,-0.1,-1.72
