,T0,T1,T2,A_0
T0,-0.88,-0.92,0.26,-0.0
T1,-0.38,-2.01,0.0,-0.36
T2,0.0,0.07,-2.04,-0.55
A_0,-0.0,-0.4,-0.52,-2.5
