,T0,T1,T2,C_1
T0,-0.9,-0.22,0.0,-0.0
T1,-1.23,-1.94,0.19,0.14
T2,0.19,0.0,-2.11,-0.0
C_1,-0.89,0.04,-0.0,-1.7
