,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),NF1 (M)
ATRX (M),-3.38,-0.22,-0.54,-0.1,-0.0
SETD2 (M),-0.2,-2.97,-0.41,0.0,-0.5
BCL2/18q (Del),-0.06,-0.23,-1.06,0.47,-0.68
SMAD4 (M),-0.15,0.0,0.0,-3.39,0.01
NF1 (M),-0.0,-0.42,-0.88,0.0,-2.61
