,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),APC (M)
ATRX (M),-3.38,-0.22,-0.53,-0.08,-0.0
SETD2 (M),-0.21,-2.98,-0.45,0.0,-0.23
BCL2/18q (Del),-0.1,-0.19,-1.09,0.45,-0.15
SMAD4 (M),-0.16,0.0,0.0,-3.39,-0.0
APC (M),-0.0,-0.27,-0.56,-0.0,-3.35
