,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),MET (M)
ATRX (M),-3.36,-0.23,-0.56,-0.08,-0.43
SETD2 (M),-0.22,-2.97,-0.4,0.0,-0.84
BCL2/18q (Del),-0.07,-0.24,-1.07,0.45,-0.49
SMAD4 (M),-0.14,0.0,0.0,-3.39,-0.05
MET (M),-0.38,-0.82,-0.89,-0.01,-2.95
