,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),MCL1/1q (Amp)
ATRX (M),-3.26,-0.19,-0.59,-0.03,-0.37
SETD2 (M),-0.14,-2.77,-0.01,0.0,-1.43
BCL2/18q (Del),-0.0,-0.62,-1.0,0.55,-0.26
SMAD4 (M),-0.09,0.0,0.0,-3.25,-0.47
MCL1/1q (Amp),-0.02,-0.56,-1.29,-0.27,-0.39
