,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),KEAP1 (M)
ATRX (M),-3.37,-0.22,-0.62,-0.03,0.0
SETD2 (M),-0.15,-2.94,-0.37,0.0,-0.75
BCL2/18q (Del),-0.0,-0.27,-1.04,0.46,-0.63
SMAD4 (M),-0.11,0.0,0.0,-3.33,-0.88
KEAP1 (M),0.0,-0.67,-1.2,-0.59,-1.87
