,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M)
ATRX (M),-3.37,-0.24,-0.57,-0.07,-0.0
SETD2 (M),-0.22,-3.01,-0.33,0.0,-0.0
BCL2/18q (Del),-0.07,-0.31,-1.09,0.46,-0.05
SMAD4 (M),-0.17,0.0,0.0,-3.39,-0.04
PIK3CA (M),-0.0,-0.0,-0.42,-0.01,-2.8
