,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),TP53 (M)
ATRX (M),-3.22,-0.25,-0.62,-0.03,-0.42
SETD2 (M),-0.08,-2.66,-0.64,0.0,-0.98
BCL2/18q (Del),-0.0,-0.01,-1.08,0.47,-0.05
SMAD4 (M),-0.08,0.0,0.01,-3.12,-0.85
TP53 (M),-0.26,-1.17,-1.39,-0.23,-0.09
