,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),KRAS (M)
ATRX (M),-3.6,-0.04,-0.16,-0.2,0.39
SETD2 (M),-0.02,-2.62,-0.69,0.0,-1.69
BCL2/18q (Del),-0.0,-0.05,-0.77,0.44,-1.57
SMAD4 (M),-0.0,0.0,0.0,-3.06,-1.79
KRAS (M),0.01,-0.23,-0.84,-0.03,-0.49
