,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),EGFR/7p (Amp)
ATRX (M),-3.23,-0.18,-0.54,-0.08,-0.69
SETD2 (M),-0.27,-2.81,-0.0,0.0,-1.56
BCL2/18q (Del),-0.02,-0.56,-1.08,0.51,0.0
SMAD4 (M),-0.11,-0.0,0.0,-3.26,-0.53
EGFR/7p (Amp),-0.31,-0.48,-0.63,-0.51,-0.71
