,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),BRAF (M)
ATRX (M),-3.38,-0.19,-0.55,-0.06,0.0
SETD2 (M),-0.55,-3.2,-0.16,0.0,1.66
BCL2/18q (Del),-0.05,-0.29,-1.06,0.47,-0.96
SMAD4 (M),-0.19,0.0,0.0,-3.38,-0.13
BRAF (M),0.46,0.0,-0.87,-0.38,-2.79
