,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),EPHA7/6q (Del)
ATRX (M),-3.3,-0.17,-0.58,-0.06,-0.36
SETD2 (M),-0.21,-3.01,-0.34,0.0,0.0
BCL2/18q (Del),-0.01,-0.29,-1.09,0.53,0.01
SMAD4 (M),-0.1,0.0,0.0,-3.29,-0.5
EPHA7/6q (Del),-0.01,0.01,0.04,-0.46,-1.07
