,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),FAT1 (M)
ATRX (M),-3.44,-0.25,-0.52,-0.02,0.88
SETD2 (M),-0.18,-2.99,-0.35,0.0,-0.37
BCL2/18q (Del),-0.06,-0.28,-1.07,0.43,-0.57
SMAD4 (M),-0.1,0.0,0.0,-3.36,-1.34
FAT1 (M),0.0,-0.21,-0.72,-1.18,-2.92
