,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),MYC/8q (Amp)
ATRX (M),-3.29,-0.22,-0.67,-0.02,-0.28
SETD2 (M),-0.11,-2.8,-0.56,0.0,-0.76
BCL2/18q (Del),-0.0,-0.07,-1.07,0.51,-0.11
SMAD4 (M),-0.14,0.0,0.0,-3.32,-0.24
MYC/8q (Amp),-0.14,-0.74,-1.06,-0.13,-0.63
