,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),TERT/5p (Amp)
ATRX (M),-3.28,-0.25,-0.42,-0.06,-0.41
SETD2 (M),-0.11,-2.76,-0.32,0.0,-1.06
BCL2/18q (Del),-0.12,-0.22,-1.05,0.5,-0.14
SMAD4 (M),-0.11,0.0,0.0,-3.24,-0.54
TERT/5p (Amp),-0.1,-0.82,-0.78,-0.31,-0.45
