,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),ARID2 (M)
ATRX (M),-3.38,-0.22,-0.54,-0.07,0.0
SETD2 (M),-0.23,-3.0,-0.37,0.0,-0.1
BCL2/18q (Del),-0.08,-0.26,-1.08,0.44,-0.63
SMAD4 (M),-0.17,0.0,0.0,-3.39,-0.19
ARID2 (M),0.0,-0.05,-0.78,-0.11,-3.31
