,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),RB1 (M)
ATRX (M),-3.37,-0.22,-0.57,-0.07,-0.0
SETD2 (M),-0.2,-2.97,-0.4,0.0,-1.52
BCL2/18q (Del),-0.06,-0.23,-1.08,0.46,-0.22
SMAD4 (M),-0.16,0.0,0.0,-3.39,-0.01
RB1 (M),-0.0,-1.5,-0.71,-0.0,-3.01
