,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),CDKN2A/9p (Del)
ATRX (M),-3.23,-0.23,-0.52,-0.04,-0.63
SETD2 (M),-0.18,-2.8,-0.35,0.0,-0.91
BCL2/18q (Del),-0.0,-0.09,-1.19,0.59,0.3
SMAD4 (M),-0.17,0.0,0.0,-3.22,-0.67
CDKN2A/9p (Del),-0.4,-0.67,0.0,-0.78,-0.68
