,T0,T1,T2,B_1
T0,-0.83,-0.64,0.06,-0.02
T1,-0.53,-2.02,0.33,0.19
T2,0.13,0.37,-2.07,-0.13
B_1,-0.05,0.22,-0.15,-0.04
