,T0,T1,T2,D_0
T0,-0.85,-0.76,-0.0,0.17
T1,-0.58,-2.1,-0.12,0.93
T2,0.17,0.65,-2.14,-0.23
D_0,0.08,0.24,0.17,-1.39
