,T0,T1,T2,E_3
T0,-0.92,-0.41,-0.04,0.63
T1,-0.82,-1.92,0.65,-0.07
T2,0.01,0.05,-2.17,0.72
E_3,-0.91,-0.16,-0.61,-1.68
