,T0,T1,T2,C_3
T0,-0.85,-0.82,-0.13,0.1
T1,-0.37,-2.09,0.0,0.37
T2,0.25,0.55,-2.16,-0.08
C_3,-1.03,-0.18,0.0,-0.2
